VACUNA,ANIO,MES,RANGO_EDAD,POBLACION,PROVINCIA,DISTRITO,PRESUPUESTO,CANTIDAD DE PERSONAL,CANTIDAD
AMA,2020,DICIEMBRE,1_ANIO,8264,ATALAYA,SEPAHUA,161316,17.0,14
AMA,2020,DICIEMBRE,1_ANIO,10219,PADRE ABAD,CURIMANA,161316,19.0,12
AMA,2020,DICIEMBRE,1_ANIO,10501,PADRE ABAD,NESHUYA,161316,28.0,5
AMA,2020,DICIEMBRE,1_ANIO,10618,ATALAYA,TAHUANIA,161316,28.0,6
AMA,2020,DICIEMBRE,1_ANIO,11961,CORONEL PORTILLO,MASISEA,161316,47.0,31
AMA,2020,DICIEMBRE,1_ANIO,12065,PADRE ABAD,IRAZOLA,161316,47.0,9
AMA,2020,DICIEMBRE,1_ANIO,12350,CORONEL PORTILLO,IPARIA,161316,35.0,21
AMA,2020,DICIEMBRE,1_ANIO,19598,CORONEL PORTILLO,CAMPOVERDE,161316,56.0,30
AMA,2020,DICIEMBRE,1_ANIO,38100,PADRE ABAD,PADRE ABAD,161316,113.0,19
AMA,2020,DICIEMBRE,1_ANIO,39732,ATALAYA,RAIMONDI,161316,120.0,69
AMA,2020,DICIEMBRE,1_ANIO,107364,CORONEL PORTILLO,MANANTAY,161316,151.0,84
AMA,2020,DICIEMBRE,1_ANIO,118666,CORONEL PORTILLO,YARINACOCHA,161316,424.0,37
AMA,2020,DICIEMBRE,1_ANIO,172052,CORONEL PORTILLO,CALLERIA,161316,679.0,155
AMA,2020,ENERO,1_ANIO,2435,ATALAYA,YURUA,777891,7.0,0
AMA,2020,ENERO,1_ANIO,3284,PURUS,PURUS,777891,17.0,3
AMA,2020,ENERO,1_ANIO,5742,CORONEL PORTILLO,NUEVA REQUENA,777891,22.0,2
AMA,2020,ENERO,1_ANIO,6159,PADRE ABAD,ALEXANDER VON HUMBOLDT,777891,8.0,4
AMA,2020,ENERO,1_ANIO,8264,ATALAYA,SEPAHUA,777891,14.0,0
AMA,2020,ENERO,1_ANIO,10219,PADRE ABAD,CURIMANA,777891,18.0,6
AMA,2020,ENERO,1_ANIO,10501,PADRE ABAD,NESHUYA,777891,24.0,15
AMA,2020,ENERO,1_ANIO,10618,ATALAYA,TAHUANIA,777891,24.0,0
AMA,2020,ENERO,1_ANIO,11961,CORONEL PORTILLO,MASISEA,777891,44.0,20
