VACUNA,ANIO,MES,PROVINCIA,RANGO_EDAD,CANTIDAD DE PERSONAL,POBLACION,PRESUPUESTO,CANTIDAD,UBIGEO,ALFABETISMO,AGUA_POTABLE,DEMORA_CITA_horas,DEMORA_TRASLADO_horas
AMA,2021,ABRIL,CORONEL PORTILLO,1_ANIO,1481,5794,268268,260,250100,0.203,0.354,29.008,0.175
AMA,2021,ABRIL,PADRE ABAD,1_ANIO,248,6272,268268,71,250300,0.25,0.0,0.222,1.139
AMA,2021,ABRIL,PURUS,1_ANIO,19,3284,268268,1,250400,0.0,0.0,0.0,0.0
AMA,2021,AGOSTO,ATALAYA,1_ANIO,179,2501,629819,58,250200,0.198,0.167,2.968,1.052
AMA,2021,AGOSTO,CORONEL PORTILLO,1_ANIO,1500,5794,629819,321,250100,0.192,0.302,8.156,0.236
AMA,2021,AGOSTO,PADRE ABAD,1_ANIO,239,6272,629819,43,250300,0.317,0.067,0.167,0.125
AMA,2021,AGOSTO,PURUS,1_ANIO,19,3284,629819,0,250400,0.0,0.0,0.0,0.0
AMA,2021,DICIEMBRE,ATALAYA,1_ANIO,194,2501,486866,29,250200,0.303,0.067,0.292,0.083
AMA,2021,DICIEMBRE,CORONEL PORTILLO,1_ANIO,1512,5794,486866,189,250100,0.166,0.458,10.208,0.283
AMA,2021,DICIEMBRE,PADRE ABAD,1_ANIO,244,6272,486866,28,250300,0.3,0.419,0.306,0.217
AMA,2021,DICIEMBRE,PURUS,1_ANIO,21,3284,486866,2,250400,0.0,0.0,0.0,0.0
AMA,2021,ENERO,ATALAYA,1_ANIO,182,2501,822309,55,250200,0.35,0.0,0.167,0.333
AMA,2021,ENERO,CORONEL PORTILLO,1_ANIO,1425,5794,822309,324,250100,0.167,0.413,4.208,0.158
AMA,2021,ENERO,PADRE ABAD,1_ANIO,205,6272,822309,59,250300,0.28,0.185,0.167,0.083
AMA,2021,ENERO,PURUS,1_ANIO,18,3284,822309,2,250400,0.0,0.0,0.0,0.0
AMA,2021,FEBRERO,ATALAYA,1_ANIO,166,2501,677118,45,250200,0.167,0.0,0.0,0.0
AMA,2021,FEBRERO,CORONEL PORTILLO,1_ANIO,1427,5794,677118,303,250100,0.168,0.193,0.454,0.652
AMA,2021,FEBRERO,PADRE ABAD,1_ANIO,217,6272,677118,54,250300,0.256,0.345,0.303,0.909
AMA,2021,FEBRERO,PURUS,1_ANIO,19,3284,677118,3,250400,0.0,0.0,0.0,0.0
AMA,2021,JULIO,ATALAYA,1_ANIO,172,2501,647735,47,250200,0.342,0.0,0.75,0.167
AMA,2021,JULIO,CORONEL PORTILLO,1_ANIO,1482,5794,647735,280,250100,0.228,0.34,5.031,0.336
AMA,2021,JULIO,PADRE ABAD,1_ANIO,228,6272,647735,79,250300,0.259,0.857,0.278,0.222
AMA,2021,JULIO,PURUS,1_ANIO,19,3284,647735,2,250400,0.0,0.0,0.0,0.0
AMA,2021,JUNIO,ATALAYA,1_ANIO,172,2501,696098,42,250200,0.208,0.059,0.375,1.75
AMA,2021,JUNIO,CORONEL PORTILLO,1_ANIO,1481,5794,696098,265,250100,0.154,0.635,2.536,0.219
AMA,2021,JUNIO,PADRE ABAD,1_ANIO,226,6272,696098,50,250300,0.25,0.5,0.444,0.261
AMA,2021,JUNIO,PURUS,1_ANIO,19,3284,696098,0,250400,0.0,0.0,0.0,0.0
AMA,2021,MARZO,ATALAYA,1_ANIO,154,2501,1269741,65,250200,0.333,0.412,0.833,2.028
AMA,2021,MARZO,CORONEL PORTILLO,1_ANIO,1451,5794,1269741,300,250100,0.19,0.406,0.272,0.231
AMA,2021,MARZO,PADRE ABAD,1_ANIO,219,6272,1269741,51,250300,0.307,0.0,0.229,0.875
AMA,2021,MARZO,PURUS,1_ANIO,19,3284,1269741,5,250400,0.0,0.0,0.0,0.0
AMA,2021,MAYO,ATALAYA,1_ANIO,167,2501,694026,52,250200,0.31,0.0,0.083,0.083
AMA,2021,MAYO,CORONEL PORTILLO,1_ANIO,1482,5794,694026,256,250100,0.218,0.405,0.591,0.428
AMA,2021,MAYO,PADRE ABAD,1_ANIO,220,6272,694026,94,250300,0.188,0.385,0.292,0.104
AMA,2021,MAYO,PURUS,1_ANIO,19,3284,694026,2,250400,0.0,0.0,0.0,0.0
AMA,2021,NOVIEMBRE,ATALAYA,1_ANIO,192,2501,811749,29,250200,0.233,0.0,0.167,1.571
AMA,2021,NOVIEMBRE,CORONEL PORTILLO,1_ANIO,1506,5794,811749,254,250100,0.162,0.42,31.663,2.165
AMA,2021,NOVIEMBRE,PADRE ABAD,1_ANIO,241,6272,811749,35,250300,0.235,0.231,0.167,0.083
AMA,2021,NOVIEMBRE,PURUS,1_ANIO,22,3284,811749,4,250400,0.0,0.0,0.0,0.0
AMA,2021,OCTUBRE,ATALAYA,1_ANIO,186,2501,612818,13,250200,0.393,0.0,0.167,0.167
AMA,2021,OCTUBRE,CORONEL PORTILLO,1_ANIO,1449,5794,612818,310,250100,0.15,0.37,10.899,0.121
AMA,2021,OCTUBRE,PADRE ABAD,1_ANIO,240,6272,612818,42,250300,0.467,0.583,0.128,1.378
AMA,2021,OCTUBRE,PURUS,1_ANIO,19,3284,612818,2,250400,0.0,0.0,0.0,0.0
AMA,2021,SETIEMBRE,ATALAYA,1_ANIO,178,2501,681661,56,250200,0.278,0.0,0.0,0.0
AMA,2021,SETIEMBRE,CORONEL PORTILLO,1_ANIO,1488,5794,681661,355,250100,0.203,0.517,0.721,0.225
AMA,2021,SETIEMBRE,PADRE ABAD,1_ANIO,237,6272,681661,70,250300,0.247,0.281,0.442,0.331
AMA,2021,SETIEMBRE,PURUS,1_ANIO,19,3284,681661,1,250400,0.0,0.0,0.0,0.0
AMA,2022,ABRIL,ATALAYA,1_ANIO,194,2564,748576,47,250200,0.224,0.071,0.427,0.365
AMA,2022,ABRIL,CORONEL PORTILLO,1_ANIO,1604,5843,748576,290,250100,0.167,0.32,36.006,0.343
AMA,2022,ABRIL,PADRE ABAD,1_ANIO,244,6380,748576,66,250300,0.1,0.25,0.167,1.0
AMA,2022,ABRIL,PURUS,1_ANIO,22,3270,748576,3,250400,0.0,0.0,0.0,0.0
AMA,2022,AGOSTO,ATALAYA,1_ANIO,177,2564,779177,50,250200,0.198,0.387,0.0,0.0
AMA,2022,AGOSTO,CORONEL PORTILLO,1_ANIO,1507,5843,779177,358,250100,0.148,0.39,18.837,0.177
AMA,2022,AGOSTO,PADRE ABAD,1_ANIO,239,6380,779177,53,250300,0.277,0.425,0.226,0.19
AMA,2022,AGOSTO,PURUS,1_ANIO,21,3270,779177,2,250400,0.0,0.0,0.0,0.0
AMA,2022,DICIEMBRE,ATALAYA,1_ANIO,222,2564,996898,38,250200,0.196,0.0,0.438,0.25
AMA,2022,DICIEMBRE,CORONEL PORTILLO,1_ANIO,1698,5843,996898,245,250100,0.183,0.474,54.153,0.195
AMA,2022,DICIEMBRE,PADRE ABAD,1_ANIO,284,6380,996898,34,250300,0.24,0.0,0.352,0.104
