VACUNA,ANIO,MES,RANGO_EDAD,CANTIDAD DE PERSONAL,POBLACION,PRESUPUESTO,CANTIDAD,ALFABETISMO,AGUA_POTABLE,DEMORA_CITA_horas,DEMORA_TRASLADO_horas
APO,2020,ABRIL,<1_ANIO,1562,2435,815151,48,0.30933333333333335,0.4043333333333334,0.0,0.0
APO,2020,AGOSTO,<1_ANIO,1734,2435,725676,517,0.43933333333333335,0.1376666666666667,0.0,0.0
APO,2020,DICIEMBRE,<1_ANIO,1813,2435,161316,666,0.243,0.3193333333333333,0.8016666666666667,0.28733333333333333
APO,2020,ENERO,<1_ANIO,1551,2435,777891,665,0.18333333333333335,0.42300000000000004,3.4973333333333336,0.20633333333333334
APO,2020,FEBRERO,<1_ANIO,1563,2435,761802,573,0.2273333333333333,0.37966666666666665,8.130333333333335,0.18200000000000002
APO,2020,JULIO,<1_ANIO,1551,2435,804264,528,0.4073333333333333,0.25066666666666665,0.0,0.0
APO,2020,JUNIO,<1_ANIO,1626,2435,718822,229,0.48266666666666663,0.14933333333333332,0.0,0.0
APO,2020,MARZO,<1_ANIO,1571,2435,751336,406,0.225,0.257,3.4586666666666672,0.7223333333333333
APO,2020,MAYO,<1_ANIO,1618,2435,710703,101,0.49433333333333335,0.17866666666666667,0.0,0.0
APO,2020,NOVIEMBRE,<1_ANIO,1788,2435,1348304,891,0.19499999999999998,0.27033333333333337,0.37366666666666665,0.257
APO,2020,OCTUBRE,<1_ANIO,1813,2435,858754,720,0.2776666666666667,0.24866666666666667,2.4446666666666665,0.3476666666666666
APO,2020,SETIEMBRE,<1_ANIO,1734,2435,749638,651,0.27266666666666667,0.359,18.492,0.5363333333333333
APO,2021,ABRIL,<1_ANIO,1895,2501,268268,580,0.19400000000000003,0.118,9.826666666666666,0.4656666666666667
APO,2021,AGOSTO,<1_ANIO,1918,2501,629819,572,0.2356666666666667,0.17866666666666667,3.763666666666667,0.47100000000000003
APO,2021,DICIEMBRE,<1_ANIO,1950,2501,486866,398,0.25633333333333336,0.31466666666666665,3.602,0.19433333333333333
APO,2021,ENERO,<1_ANIO,1812,2501,822309,692,0.26566666666666666,0.19933333333333333,1.514,0.19133333333333336
APO,2021,FEBRERO,<1_ANIO,1810,2501,677118,587,0.19699999999999998,0.17933333333333334,0.25233333333333335,0.5203333333333333
APO,2021,JULIO,<1_ANIO,1882,2501,647735,575,0.2763333333333334,0.399,2.0196666666666663,0.2416666666666667
APO,2021,JUNIO,<1_ANIO,1879,2501,696098,532,0.204,0.39799999999999996,1.1183333333333334,0.7433333333333333
APO,2021,MARZO,<1_ANIO,1824,2501,1269741,694,0.27666666666666667,0.27266666666666667,0.4446666666666667,1.0446666666666666
APO,2021,MAYO,<1_ANIO,1869,2501,694026,590,0.23866666666666667,0.26333333333333336,0.322,0.205
APO,2021,NOVIEMBRE,<1_ANIO,1939,2501,811749,549,0.21,0.217,10.665666666666668,1.273
APO,2021,OCTUBRE,<1_ANIO,1875,2501,612818,476,0.33666666666666667,0.31766666666666665,3.731333333333333,0.5553333333333333
APO,2021,SETIEMBRE,<1_ANIO,1903,2501,681661,659,0.24266666666666667,0.266,0.38766666666666666,0.18533333333333335
APO,2022,ABRIL,<1_ANIO,2042,2564,748576,703,0.16366666666666665,0.21366666666666667,12.200000000000001,0.5693333333333334
APO,2022,AGOSTO,<1_ANIO,1923,2564,779177,660,0.20766666666666667,0.40066666666666667,6.354333333333333,0.12233333333333334
APO,2022,DICIEMBRE,<1_ANIO,2204,2564,996898,543,0.20633333333333334,0.158,18.314333333333334,0.18300000000000002
