VACUNA,ANIO,MES,RANGO_EDAD,POBLACION,PROVINCIA,DISTRITO,PRESUPUESTO,CANTIDAD DE PERSONAL,CANTIDAD
AMA,2020,OCTUBRE,1_ANIO,11961,CORONEL PORTILLO,MASISEA,858754,46,35
AMA,2020,OCTUBRE,1_ANIO,12065,PADRE ABAD,IRAZOLA,858754,47,7
AMA,2020,OCTUBRE,1_ANIO,12350,CORONEL PORTILLO,IPARIA,858754,35,18
AMA,2020,OCTUBRE,1_ANIO,19598,CORONEL PORTILLO,CAMPOVERDE,858754,55,35
AMA,2020,OCTUBRE,1_ANIO,38100,PADRE ABAD,PADRE ABAD,858754,125,20
AMA,2020,OCTUBRE,1_ANIO,39732,ATALAYA,RAIMONDI,858754,124,114
AMA,2020,OCTUBRE,1_ANIO,107364,CORONEL PORTILLO,MANANTAY,858754,143,117
AMA,2020,OCTUBRE,1_ANIO,118666,CORONEL PORTILLO,YARINACOCHA,858754,422,86
AMA,2020,OCTUBRE,1_ANIO,172052,CORONEL PORTILLO,CALLERIA,858754,678,169
AMA,2020,SETIEMBRE,1_ANIO,2435,ATALAYA,YURUA,749638,6,0
AMA,2020,SETIEMBRE,1_ANIO,3284,PURUS,PURUS,749638,17,0
AMA,2020,SETIEMBRE,1_ANIO,5742,CORONEL PORTILLO,NUEVA REQUENA,749638,21,6
AMA,2020,SETIEMBRE,1_ANIO,6159,PADRE ABAD,ALEXANDER VON HUMBOLDT,749638,9,4
AMA,2020,SETIEMBRE,1_ANIO,8264,ATALAYA,SEPAHUA,749638,16,7
