VACUNA,ANIO,MES,RANGO_EDAD,CANTIDAD_DE_PERSONAL,POBLACION,PRESUPUESTO,ALFABETISMO,AGUA_POTABLE,DEMORA_CITA_horas,DEMORA_TRASLADO_horas,MES_NUM,CANTIDAD
APT,2020,JULIO,1_ANIO,7.346655807921657,7.797702446194224,13.597682853715673,0.4073333333333333,0.2506666666666666,0.0,0.0,7,3.970310781298653
APT,2020,AGOSTO,1_ANIO,7.45818673404159,7.797702446194224,13.494858914580224,0.4393333333333333,0.1376666666666667,0.0,0.0,8,4.753598811758862
APT,2020,SETIEMBRE,1_ANIO,7.45818673404159,7.797702446194224,13.527345703658753,0.2726666666666666,0.359,18.492,0.5363333333333333,9,5.902636065638071
APT,2020,OCTUBRE,1_ANIO,7.502738762326679,7.797702446194224,13.663237781605368,0.2776666666666667,0.2486666666666666,2.4446666666666665,0.3476666666666666,10,5.966149303222969
APT,2020,NOVIEMBRE,1_ANIO,7.48885351501742,7.797702446194224,14.114358065058244,0.1949999999999999,0.2703333333333333,0.3736666666666666,0.257,11,6.3007876295239456
APT,2020,DICIEMBRE,1_ANIO,7.502738762326679,7.797702446194224,11.991120459441266,0.243,0.3193333333333333,0.8016666666666667,0.2873333333333333,12,6.324360754494401
APT,2021,ENERO,1_ANIO,7.5021870384791525,7.8244463307176035,13.619871517025796,0.2656666666666666,0.1993333333333333,1.514,0.1913333333333333,1,6.393592426190036
APT,2021,FEBRERO,1_ANIO,7.501082676745907,7.8244463307176035,13.425600836558248,0.1969999999999999,0.1793333333333333,0.2523333333333333,0.5203333333333333,2,5.905364572846498
APT,2021,MARZO,1_ANIO,7.5087877188797405,7.8244463307176035,14.054323501416484,0.2766666666666666,0.2726666666666666,0.4446666666666667,1.0446666666666666,3,5.860789072464656
APT,2021,ABRIL,1_ANIO,7.546974645220873,7.8244463307176035,12.499741763553693,0.194,0.118,9.826666666666666,0.4656666666666667,4,5.752575813423769
APT,2021,MAYO,1_ANIO,7.533159342500898,7.8244463307176035,13.450264704204997,0.2386666666666666,0.2633333333333333,0.322,0.205,5,6.035483824866392
APT,2021,JUNIO,1_ANIO,7.538495531611301,7.8244463307176035,13.4532457354388,0.204,0.3979999999999999,1.1183333333333334,0.7433333333333333,6,5.752575813423769
APT,2021,JULIO,1_ANIO,7.540090851494812,7.8244463307176035,13.38123694261786,0.2763333333333334,0.399,2.0196666666666663,0.2416666666666667,7,5.834813661034938
APT,2021,AGOSTO,1_ANIO,7.559038776819682,7.8244463307176035,13.353187757089165,0.2356666666666667,0.1786666666666666,3.763666666666667,0.471,8,5.749396170616558
APT,2021,SETIEMBRE,1_ANIO,7.551187392782086,7.8244463307176035,13.432287747264946,0.2426666666666666,0.266,0.3876666666666666,0.1853333333333333,9,5.96100791693954
APT,2021,OCTUBRE,1_ANIO,7.536364471737702,7.8244463307176035,13.325823271977082,0.3366666666666666,0.3176666666666666,3.731333333333333,0.5553333333333333,10,5.948037600143294
APT,2021,NOVIEMBRE,1_ANIO,7.569928170972276,7.8244463307176035,13.606946459289867,0.21,0.217,10.665666666666668,1.273,11,5.95583996013505
APT,2021,DICIEMBRE,1_ANIO,7.5755851643781735,7.8244463307176035,13.095744212252765,0.2563333333333333,0.3146666666666666,3.602,0.1943333333333333,12,5.560685477161977
APT,2022,ENERO,1_ANIO,7.5857893293461185,7.849324208056085,13.435831612107915,0.2376666666666667,0.248,20.75133333333333,1.7856666666666667,1,5.971264390807617
APT,2022,FEBRERO,1_ANIO,7.5973968219688155,7.849324208056085,13.721919400893377,0.1726666666666666,0.178,0.2566666666666666,0.6346666666666666,2,5.407176255754997
APT,2022,MARZO,1_ANIO,7.614312639791789,7.849324208056085,13.572757237030647,0.162,0.2793333333333334,11.613333333333332,0.5706666666666667,3,5.886106809224075
APT,2022,ABRIL,1_ANIO,7.6216854884404555,7.849324208056085,13.525928015429363,0.1636666666666666,0.2136666666666666,12.2,0.5693333333333334,4,6.059125532027665
APT,2022,MAYO,1_ANIO,7.607878569802714,7.849324208056085,13.541352622047773,0.25,0.126,10.295333333333334,0.518,5,6.09582681468194
APT,2022,JUNIO,1_ANIO,7.609367033739909,7.849324208056085,13.472477849832977,0.206,0.4653333333333333,0.8066666666666666,0.2056666666666666,6,5.88332517399972
APT,2022,JULIO,1_ANIO,7.614805857807599,7.849324208056085,13.914502135826906,0.1846666666666666,0.3396666666666667,4.626,0.2803333333333334,7,5.937538843601373
APT,2022,AGOSTO,1_ANIO,7.5616422656094455,7.849324208056085,13.56599351470442,0.2076666666666666,0.4006666666666666,6.354333333333333,0.1223333333333333,8,5.755745378138867
APT,2022,SETIEMBRE,1_ANIO,7.6088711252228824,7.849324208056085,13.45041742457264,0.2516666666666666,0.37,6.698666666666667,0.3256666666666667,9,5.793016657159984
APT,2022,OCTUBRE,1_ANIO,7.69802962399321,7.849324208056085,13.202833072674917,0.2376666666666666,0.2963333333333333,5.5376666666666665,0.731,10,6.035483824866392
