CENTRO_SALUD,ANIO,DEPARTAMENTO,RANGO_EDAD,EFERMERDAD,MES,COBERTURA,CANTIDAD,PROVINCIA,DISTRITO,RED,MICRORRED,DESCRIPCION_ESTABLECIMIENTO,CANTIDAD DE PERSONAL,POBLACION,PRESUPUESTO
SANIDAD AEREA,2019,UCAYALI,1_ANIO,VARI,OCTUBRE,0,0,,,,,,,,619318
SANIDAD AEREA,2019,UCAYALI,1_ANIO,VARI,SETIEMBRE,0,0,CORONEL PORTILLO,YARINACOCHA,FEDERICO BASADRE - YARINACOCHA,NUEVO PARAISO,SANIDAD AEREA,2,115625,85800
SANIDAD AEREA,2019,UCAYALI,2_ANIOS,INFLUENZA,ABRIL,0,0,,,,,,,,998497
SANIDAD AEREA,2019,UCAYALI,2_ANIOS,INFLUENZA,AGOSTO,0,0,CORONEL PORTILLO,YARINACOCHA,FEDERICO BASADRE - YARINACOCHA,NUEVO PARAISO,SANIDAD AEREA,2,115625,3650033
SANIDAD AEREA,2019,UCAYALI,2_ANIOS,INFLUENZA,DICIEMBRE,0,0,CORONEL PORTILLO,YARINACOCHA,FEDERICO BASADRE - YARINACOCHA,NUEVO PARAISO,SANIDAD AEREA,2,115625,1953340
SANIDAD AEREA,2019,UCAYALI,2_ANIOS,INFLUENZA,ENERO,0,0,CORONEL PORTILLO,YARINACOCHA,FEDERICO BASADRE - YARINACOCHA,NUEVO PARAISO,SANIDAD AEREA,1,115625,924269
SANIDAD AEREA,2019,UCAYALI,2_ANIOS,INFLUENZA,FEBRERO,0,0,CORONEL PORTILLO,YARINACOCHA,FEDERICO BASADRE - YARINACOCHA,NUEVO PARAISO,SANIDAD AEREA,1,115625,1000320
SANIDAD AEREA,2019,UCAYALI,2_ANIOS,INFLUENZA,JULIO,0,0,,,,,,,,1352080
SANIDAD AEREA,2019,UCAYALI,2_ANIOS,INFLUENZA,JUNIO,0,0,CORONEL PORTILLO,YARINACOCHA,FEDERICO BASADRE - YARINACOCHA,NUEVO PARAISO,SANIDAD AEREA,2,115625,1235133
SANIDAD AEREA,2019,UCAYALI,2_ANIOS,INFLUENZA,MARZO,0,0,,,,,,,,1003216
SANIDAD AEREA,2019,UCAYALI,2_ANIOS,INFLUENZA,MAYO,0,0,CORONEL PORTILLO,YARINACOCHA,FEDERICO BASADRE - YARINACOCHA,NUEVO PARAISO,SANIDAD AEREA,2,115625,1030125
SANIDAD AEREA,2019,UCAYALI,2_ANIOS,INFLUENZA,NOVIEMBRE,0,0,CORONEL PORTILLO,YARINACOCHA,FEDERICO BASADRE - YARINACOCHA,NUEVO PARAISO,SANIDAD AEREA,2,115625,1813790
SANIDAD AEREA,2019,UCAYALI,2_ANIOS,INFLUENZA,OCTUBRE,0,0,,,,,,,,619318
SANIDAD AEREA,2019,UCAYALI,2_ANIOS,INFLUENZA,SETIEMBRE,0,0,CORONEL PORTILLO,YARINACOCHA,FEDERICO BASADRE - YARINACOCHA,NUEVO PARAISO,SANIDAD AEREA,2,115625,85800
SANIDAD AEREA,2019,UCAYALI,3_ANIOS,INFLUENZA,ABRIL,0,0,,,,,,,,998497
SANIDAD AEREA,2019,UCAYALI,3_ANIOS,INFLUENZA,AGOSTO,0,0,CORONEL PORTILLO,YARINACOCHA,FEDERICO BASADRE - YARINACOCHA,NUEVO PARAISO,SANIDAD AEREA,2,115625,3650033
SANIDAD AEREA,2019,UCAYALI,3_ANIOS,INFLUENZA,DICIEMBRE,0,0,CORONEL PORTILLO,YARINACOCHA,FEDERICO BASADRE - YARINACOCHA,NUEVO PARAISO,SANIDAD AEREA,2,115625,1953340
SANIDAD AEREA,2019,UCAYALI,3_ANIOS,INFLUENZA,ENERO,0,0,CORONEL PORTILLO,YARINACOCHA,FEDERICO BASADRE - YARINACOCHA,NUEVO PARAISO,SANIDAD AEREA,1,115625,924269
SANIDAD AEREA,2019,UCAYALI,3_ANIOS,INFLUENZA,FEBRERO,0,0,CORONEL PORTILLO,YARINACOCHA,FEDERICO BASADRE - YARINACOCHA,NUEVO PARAISO,SANIDAD AEREA,1,115625,1000320
SANIDAD AEREA,2019,UCAYALI,3_ANIOS,INFLUENZA,JULIO,0,0,,,,,,,,1352080
